customer_id,product_group,product_category,product_type,Total_quantity,Total_payment
8600,Beverages,Coffee,"Barista Espresso",2063,4332.299999999999
8600,Food,Bakery,Scone,3287,10682.75
6000,Beverages,Coffee,"Barista Espresso",977,2051.7
6000,Food,Bakery,Scone,978,2591.7
8600,Food,Bakery,Scone,64,169.60000000000002
5033,Food,Bakery,Scone,63,166.95
5033,Beverages,Coffee,"Barista Espresso",63,132.3
5917,Food,Bakery,Scone,24,63.6
5119,Beverages,Coffee,"Barista Espresso",48,100.8
5917,Beverages,Coffee,"Barista Espresso",24,50.4
5744,Food,Bakery,Scone,21,55.65
5354,Food,Bakery,Scone,21,55.65
5744,Beverages,Coffee,"Barista Espresso",21,44.1
5354,Beverages,Coffee,"Barista Espresso",21,44.1
5799,Food,Bakery,Scone,20,53
5799,Beverages,Coffee,"Barista Espresso",20,42
6000,Food,Bakery,Pastry,2308,8655
5106,Food,Bakery,Scone,18,47.7
5512,Food,Bakery,Scone,39,103.35
5109,Food,Bakery,Scone,18,47.7
5662,Food,Bakery,Scone,18,47.7
5106,Beverages,Coffee,"Barista Espresso",18,37.8
5512,Beverages,Coffee,"Barista Espresso",39,81.9
5109,Beverages,Coffee,"Barista Espresso",18,37.8
5662,Beverages,Coffee,"Barista Espresso",18,37.8
5355,Food,Bakery,Scone,16,42.4
8230,Food,Bakery,Scone,43,139.75
5885,Food,Bakery,Scone,16,42.4
5670,Food,Bakery,Scone,16,42.4
5197,Food,Bakery,Scone,16,42.4
5527,Food,Bakery,Scone,16,42.4
8460,Food,Bakery,Scone,42,136.5
5144,Food,Bakery,Scone,16,42.4
5273,Food,Bakery,Scone,16,42.4
8342,Food,Bakery,Scone,16,52
5355,Beverages,Coffee,"Barista Espresso",16,33.6
8230,Beverages,Coffee,"Barista Espresso",16,33.6
5885,Beverages,Coffee,"Barista Espresso",16,33.6
5670,Beverages,Coffee,"Barista Espresso",16,33.6
5197,Beverages,Coffee,"Barista Espresso",16,33.6
5527,Beverages,Coffee,"Barista Espresso",16,33.6
8460,Beverages,Coffee,"Barista Espresso",16,33.6
5144,Beverages,Coffee,"Barista Espresso",16,33.6
5273,Beverages,Coffee,"Barista Espresso",16,33.6
8342,Beverages,Coffee,"Barista Espresso",16,33.6
5077,Food,Bakery,Scone,15,39.75
8493,Food,Bakery,Scone,15,48.75
5180,Food,Bakery,Scone,39,103.35
5086,Food,Bakery,Scone,36,95.4
5077,Beverages,Coffee,"Barista Espresso",15,31.5
8493,Beverages,Coffee,"Barista Espresso",15,31.5
5180,Beverages,Coffee,"Barista Espresso",39,81.9
5086,Beverages,Coffee,"Barista Espresso",36,75.6
8059,Food,Bakery,Scone,59,191.75
5687,Food,Bakery,Scone,14,37.1
5169,Food,Bakery,Scone,14,37.1
5070,Food,Bakery,Scone,14,37.1
